Company Name,Street Address,City,State,Zip
A.Z. Kelsey Academy,200 AZ Kelsey Ave,Griffin,GA,30223.0
Adairsville High School,519 Old Highway 41,Adairsville,GA,30103.0
Alexander High School,6500 Alexander Pkwy,Douglasville,GA,30135.0
Allattona High School - General Sponsor,3300 Dallas Acworth Highway,Acworth,GA,30101.0
Alpharetta High School,3595 Webb Bridge Road,Alpharetta,GA,30005.0
Apalachee High School,940 Haymon Morris Road,Winder,GA,30680.0
Arabia Mountain High School,6610 Browns Mill Road ,Lithonia,GA,30038.0
Archer High School,2255 New Hope Road,Lawrenceville,GA,30045.0
Athens Academy,1270 Highway 29 North,Athens,GA,30601.0
Athens Christian School,391 Charlie Bolton Rd.,Hull,GA,30646.0
Atlanta Classical Academy,3260 Northside Drive,Atlanta,GA,30305.0
B.E.S.T. Academy High School,1890 Donald Lee Hollowell Pkwy,Atlanta,GA,
Bainbridge High School,1 Bearcat Blvd,Bainbridge,GA,39819.0
Banks County High School,1486 Historic Homer Hwy,Homer,GA,30547.0
Banneker High School,6015 Feldwood Road,College Park,GA,30349.0
Barrow Arts & Sciences Academy,1007 Austin Rd.,Winder,GA,30680.0
Barrow Foothills Charter High School,2415 Suite B Jefferson Road,Athens,GA,30607.0
Berkmar High School,405 Pleasant Hill Rd,Lilburn,GA,30047.0
Bethlehem Christian Academy,544 Christmas Avenue,Bethlehem,GA,30620.0
Bishop Hall Charter School,,,,
Booker T. Washington High School,45 White House Drive,Atlanta,GA,
Bradwell Institute,100 Pafford Street,Hinesville,GA,31313.0
Bremen High School,504 Georgia Ave,Bremen,GA,30110.0
Brookwood High School,1255 Dogwood Rd. SE,Snellville,GA,30078.0
Brunswick High School ,1206 Pine Ave.,Brunswick,GA,31520.0
Cairo High School,455 5th Street SE,Cairo,GA,39828.0
Callaway High School,221 Whitfield Road,Hogansville,GA,30230.0
Cambridge High School,2845 Bethany Bend,Milton,GA,30004.0
Camden County High School,6300 Laurel Island Parkway,Kingsland,GA,31548.0
Campbell High School,925 Powder Springs St,Smyrna,GA,30080.0
Carrollton High School,201 Trojan Drive,Carrollton,GA,30117.0
Carver STEAM Academy,55 McDonough Blvd. SE,Atlanta,GA,30315.0
Cass High School,1000 Colonial Way,White,GA,30184.0
Cedar Shoals High School,1300 Cedar Shoals Drive,Athens,Ga,30605.0
Cedartown High School,,,,
Centennial High School ,9310 Scott Rd,Roswell,GA,
Central Gwinnett High School,564 West Crogan St.,Lawrenceville,GA,30046.0
Central High School (Carrollton),113 Central High Rd,Carrollton,GA,30116.0
Central High School (Talbot Co),PO Box 308 or 945 Washington Ave,Talbotton,GA,31827.0
Central Macon High School,,Macon,GA,
Chamblee Charter High School,3388 Chamblee Dunwoody Road,Chamblee,GA,30341.0
Chattahoochee County High School ,360 GA Highway 26,Cussetta,GA,31805.0
